==3858== NVPROF is profiling process 3858, command: python3 -m sockeye.train --source /home/armageddonknight/Workspace/EcoRNN/EcoNMT/benchmarks/sockeye/workspace/data/iwslt15-vi_en/train-preproc.vi --target /home/armageddonknight/Workspace/EcoRNN/EcoNMT/benchmarks/sockeye/workspace/data/iwslt15-vi_en/train
==3858== Profiling application: python3 -m sockeye.train --source /home/armageddonknight/Workspace/EcoRNN/EcoNMT/benchmarks/sockeye/workspace/data/iwslt15-vi_en/train-preproc.vi --target /home/armageddonknight/Workspace/EcoRNN/EcoNMT/benchmarks/sockeye/workspace/data/iwslt15-vi_en/train
==3858== Profiling result:
==3858== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"TITAN Xp (0)","void mxnet::op::broadcast::reduce_kernel<mshadow::red::sum, int=4, float, mxnet::op::mshadow_op::identity, int=2>(int, int, bool, float const *, mxnet::op::broadcast::reduce_kernel<mshadow::red::sum, int=4, float, mxnet::op::mshadow_op::identity, int=2>*, mshadow::Shape<int=4>, mshadow::Shape, mshadow::Shape, mshadow::Shape, int, bool)",18,"dram_read_transactions","Device Memory Read Transactions",103530,112305,106093
"TITAN Xp (0)","void mxnet::op::broadcast::reduce_kernel<mshadow::red::sum, int=4, float, mxnet::op::mshadow_op::identity, int=2>(int, int, bool, float const *, mxnet::op::broadcast::reduce_kernel<mshadow::red::sum, int=4, float, mxnet::op::mshadow_op::identity, int=2>*, mshadow::Shape<int=4>, mshadow::Shape, mshadow::Shape, mshadow::Shape, int, bool)",18,"dram_write_transactions","Device Memory Write Transactions",87574,90829,89468
"TITAN Xp (0)","void mshadow::cuda::MapPlanKernel<mshadow::sv::saveto, int=8, mshadow::expr::Plan<mshadow::Tensor<mshadow::gpu, int=3, float>, float>, mshadow::expr::Plan<mshadow::expr::SliceExp<mshadow::Tensor<mshadow::gpu, int=3, float>, mshadow::gpu, float, int=3, int=2>, float>>(mshadow::gpu, unsigned int, mshadow::Shape<int=2>, int=3)",457,"dram_read_transactions","Device Memory Read Transactions",0,102620,2515
"TITAN Xp (0)","void mshadow::cuda::MapPlanKernel<mshadow::sv::saveto, int=8, mshadow::expr::Plan<mshadow::Tensor<mshadow::gpu, int=3, float>, float>, mshadow::expr::Plan<mshadow::expr::SliceExp<mshadow::Tensor<mshadow::gpu, int=3, float>, mshadow::gpu, float, int=3, int=2>, float>>(mshadow::gpu, unsigned int, mshadow::Shape<int=2>, int=3)",457,"dram_write_transactions","Device Memory Write Transactions",0,96289,2537
"TITAN Xp (0)","void mshadow::cuda::MapPlanKernel<mshadow::sv::saveto, int=8, mshadow::expr::Plan<mshadow::Tensor<mshadow::gpu, int=2, float>, float>, mshadow::expr::Plan<mshadow::expr::BinaryMapExp<mshadow::op::plus, mshadow::expr::BinaryMapExp<mshadow::op::mul, mshadow::expr::ScalarExp<float>, mshadow::Tensor<mshadow::gpu, int=2, float>, float, int=1>, mshadow::expr::BinaryMapExp<mshadow::op::mul, mshadow::expr::ScalarExp<float>, mshadow::expr::UnaryMapExp<mxnet::op::mshadow_op::square, mshadow::expr::BinaryMapExp<mxnet::op::mshadow_op::clip, mshadow::Tensor<mshadow::gpu, int=2, float>, mshadow::expr::ScalarExp<float>, float, int=1>, float, int=1>, float, int=1>, float, int=1>, float>>(mshadow::gpu, unsigned int, mshadow::Shape<int=2>, int=2)",2,"dram_read_transactions","Device Memory Read Transactions",1500006,2156406,1828206
"TITAN Xp (0)","void mshadow::cuda::MapPlanKernel<mshadow::sv::saveto, int=8, mshadow::expr::Plan<mshadow::Tensor<mshadow::gpu, int=2, float>, float>, mshadow::expr::Plan<mshadow::expr::BinaryMapExp<mshadow::op::plus, mshadow::expr::BinaryMapExp<mshadow::op::mul, mshadow::expr::ScalarExp<float>, mshadow::Tensor<mshadow::gpu, int=2, float>, float, int=1>, mshadow::expr::BinaryMapExp<mshadow::op::mul, mshadow::expr::ScalarExp<float>, mshadow::expr::UnaryMapExp<mxnet::op::mshadow_op::square, mshadow::expr::BinaryMapExp<mxnet::op::mshadow_op::clip, mshadow::Tensor<mshadow::gpu, int=2, float>, mshadow::expr::ScalarExp<float>, float, int=1>, float, int=1>, float, int=1>, float, int=1>, float>>(mshadow::gpu, unsigned int, mshadow::Shape<int=2>, int=2)",2,"dram_write_transactions","Device Memory Write Transactions",749412,1073936,911674
"TITAN Xp (0)","void mxnet::op::broadcast::reduce_kernel_M1<mshadow::red::sum, int=4, float, mxnet::op::mshadow_op::identity>(int, bool, float const *, mxnet::op::broadcast::reduce_kernel_M1<mshadow::red::sum, int=4, float, mxnet::op::mshadow_op::identity>*, mshadow::Shape<int=4>, mshadow::Shape)",18,"dram_read_transactions","Device Memory Read Transactions",101031,207003,199871
"TITAN Xp (0)","void mxnet::op::broadcast::reduce_kernel_M1<mshadow::red::sum, int=4, float, mxnet::op::mshadow_op::identity>(int, bool, float const *, mxnet::op::broadcast::reduce_kernel_M1<mshadow::red::sum, int=4, float, mxnet::op::mshadow_op::identity>*, mshadow::Shape<int=4>, mshadow::Shape)",18,"dram_write_transactions","Device Memory Write Transactions",92153,95433,94421
"TITAN Xp (0)","_ZN5mxnet2op8mxnet_op20mxnet_generic_kernelINS1_11op_with_reqINS0_10mshadow_op3logELi1EEEJPfS7_EEEviDpT0_",1,"dram_read_transactions","Device Memory Read Transactions",180,180,180
"TITAN Xp (0)","_ZN5mxnet2op8mxnet_op20mxnet_generic_kernelINS1_11op_with_reqINS0_10mshadow_op3logELi1EEEJPfS7_EEEviDpT0_",1,"dram_write_transactions","Device Memory Write Transactions",36,36,36
"TITAN Xp (0)","void mxnet::op::broadcast::reduce_kernel<mshadow::red::sum, int=2, float, mshadow::op::identity, int=2>(int, int, bool, float const *, mxnet::op::broadcast::reduce_kernel<mshadow::red::sum, int=2, float, mshadow::op::identity, int=2>*, mshadow::Shape<int=2>, mshadow::Shape, mshadow::Shape, mshadow::Shape, int, bool)",72,"dram_read_transactions","Device Memory Read Transactions",0,86680,41100
"TITAN Xp (0)","void mxnet::op::broadcast::reduce_kernel<mshadow::red::sum, int=2, float, mshadow::op::identity, int=2>(int, int, bool, float const *, mxnet::op::broadcast::reduce_kernel<mshadow::red::sum, int=2, float, mshadow::op::identity, int=2>*, mshadow::Shape<int=2>, mshadow::Shape, mshadow::Shape, mshadow::Shape, int, bool)",72,"dram_write_transactions","Device Memory Write Transactions",32,38065,19248
"TITAN Xp (0)","void gemmk1_kernel<float, int=256, int=5, bool=0, bool=0, bool=0, bool=0>(cublasGemmk1Params<float>, float const *, float const *, float*)",18,"dram_read_transactions","Device Memory Read Transactions",144,984,430
"TITAN Xp (0)","void gemmk1_kernel<float, int=256, int=5, bool=0, bool=0, bool=0, bool=0>(cublasGemmk1Params<float>, float const *, float const *, float*)",18,"dram_write_transactions","Device Memory Write Transactions",95204,97146,96066
"TITAN Xp (0)","maxwell_sgemm_128x64_nt",19,"dram_read_transactions","Device Memory Read Transactions",18720,452930,127272
"TITAN Xp (0)","maxwell_sgemm_128x64_nt",19,"dram_write_transactions","Device Memory Write Transactions",91598,133947,94325
"TITAN Xp (0)","_ZN5mxnet2op8mxnet_op20mxnet_generic_kernelINS0_4pickILi2EEEJPfS5_PiiiN7mshadow5ShapeILi2EEES9_EEEviDpT0_",1,"dram_read_transactions","Device Memory Read Transactions",1659,1659,1659
"TITAN Xp (0)","_ZN5mxnet2op8mxnet_op20mxnet_generic_kernelINS0_4pickILi2EEEJPfS5_PiiiN7mshadow5ShapeILi2EEES9_EEEviDpT0_",1,"dram_write_transactions","Device Memory Write Transactions",435,435,435
"TITAN Xp (0)","_ZN5mxnet2op8mxnet_op20mxnet_generic_kernelINS0_10tcast_clipEJPiPfiEEEviDpT0_",2,"dram_read_transactions","Device Memory Read Transactions",324,332,328
"TITAN Xp (0)","_ZN5mxnet2op8mxnet_op20mxnet_generic_kernelINS0_10tcast_clipEJPiPfiEEEviDpT0_",2,"dram_write_transactions","Device Memory Write Transactions",8,8,8
"TITAN Xp (0)","_ZN5mxnet2op8mxnet_op20mxnet_generic_kernelINS1_11op_with_reqINS0_10mshadow_op7maximumELi1EEEJPfS7_fEEEviDpT0_",1,"dram_read_transactions","Device Memory Read Transactions",156,156,156
"TITAN Xp (0)","_ZN5mxnet2op8mxnet_op20mxnet_generic_kernelINS1_11op_with_reqINS0_10mshadow_op7maximumELi1EEEJPfS7_fEEEviDpT0_",1,"dram_write_transactions","Device Memory Write Transactions",12,12,12
"TITAN Xp (0)","_ZN5mxnet2op8mxnet_op20mxnet_generic_kernelINS0_3SumEJPfNS_9OpReqTypeES4_S4_S4_EEEviDpT0_",53,"dram_read_transactions","Device Memory Read Transactions",40,309935,111196
"TITAN Xp (0)","_ZN5mxnet2op8mxnet_op20mxnet_generic_kernelINS0_3SumEJPfNS_9OpReqTypeES4_S4_S4_EEEviDpT0_",53,"dram_write_transactions","Device Memory Write Transactions",8,107105,36424
"TITAN Xp (0)","void mshadow::cuda::MapPlanKernel<mshadow::sv::plusto, int=8, mshadow::expr::Plan<mshadow::Tensor<mshadow::gpu, int=2, float>, float>, mshadow::expr::Plan<mshadow::expr::Broadcast1DExp<mshadow::Tensor<mshadow::gpu, int=1, float>, float, int=2, int=1>, float>>(mshadow::gpu, unsigned int, mshadow::Shape<int=2>, int=2)",134,"dram_read_transactions","Device Memory Read Transactions",172,20481,1781
"TITAN Xp (0)","void mshadow::cuda::MapPlanKernel<mshadow::sv::plusto, int=8, mshadow::expr::Plan<mshadow::Tensor<mshadow::gpu, int=2, float>, float>, mshadow::expr::Plan<mshadow::expr::Broadcast1DExp<mshadow::Tensor<mshadow::gpu, int=1, float>, float, int=2, int=1>, float>>(mshadow::gpu, unsigned int, mshadow::Shape<int=2>, int=2)",134,"dram_write_transactions","Device Memory Write Transactions",0,16771,920
"TITAN Xp (0)","_ZN5mxnet2op8mxnet_op20mxnet_generic_kernelINS1_11op_with_reqIN7mshadow2op4plusELi1EEEJPfS8_S8_EEEviDpT0_",117,"dram_read_transactions","Device Memory Read Transactions",0,40724,13157
"TITAN Xp (0)","_ZN5mxnet2op8mxnet_op20mxnet_generic_kernelINS1_11op_with_reqIN7mshadow2op4plusELi1EEEJPfS8_S8_EEEviDpT0_",117,"dram_write_transactions","Device Memory Write Transactions",0,31880,5340
"TITAN Xp (0)","void mshadow::cuda::MapPlanKernel<mshadow::sv::divto, int=8, mshadow::expr::Plan<mshadow::Tensor<mshadow::gpu, int=1, float>, float>, mshadow::expr::Plan<mshadow::expr::ScalarExp<float>, float>>(mshadow::gpu, unsigned int, mshadow::Shape<int=2>, int=1)",72,"dram_read_transactions","Device Memory Read Transactions",0,77848,36651
"TITAN Xp (0)","void mshadow::cuda::MapPlanKernel<mshadow::sv::divto, int=8, mshadow::expr::Plan<mshadow::Tensor<mshadow::gpu, int=1, float>, float>, mshadow::expr::Plan<mshadow::expr::ScalarExp<float>, float>>(mshadow::gpu, unsigned int, mshadow::Shape<int=2>, int=1)",72,"dram_write_transactions","Device Memory Write Transactions",0,96792,48219
"TITAN Xp (0)","void mshadow::cuda::SoftmaxGradKernel<int=8, float, mshadow::expr::Plan<mshadow::Tensor<mshadow::gpu, int=2, float>, float>, mshadow::expr::Plan<mshadow::Tensor<mshadow::gpu, int=2, float>, float>, mshadow::expr::Plan<mshadow::Tensor<mshadow::gpu, int=1, float>, float>>(mshadow::gpu, int=2, float, unsigned int, float)",1,"dram_read_transactions","Device Memory Read Transactions",2294201,2294201,2294201
"TITAN Xp (0)","void mshadow::cuda::SoftmaxGradKernel<int=8, float, mshadow::expr::Plan<mshadow::Tensor<mshadow::gpu, int=2, float>, float>, mshadow::expr::Plan<mshadow::Tensor<mshadow::gpu, int=2, float>, float>, mshadow::expr::Plan<mshadow::Tensor<mshadow::gpu, int=1, float>, float>>(mshadow::gpu, int=2, float, unsigned int, float)",1,"dram_write_transactions","Device Memory Write Transactions",3099186,3099186,3099186
"TITAN Xp (0)","_ZN5mxnet2op8mxnet_op20mxnet_generic_kernelINS1_11op_with_reqINS0_10mshadow_op22reciprocal_square_rootELi1EEEJPfS7_EEEviDpT0_",36,"dram_read_transactions","Device Memory Read Transactions",40,300,116
"TITAN Xp (0)","_ZN5mxnet2op8mxnet_op20mxnet_generic_kernelINS1_11op_with_reqINS0_10mshadow_op22reciprocal_square_rootELi1EEEJPfS7_EEEviDpT0_",36,"dram_write_transactions","Device Memory Write Transactions",0,24,6
"TITAN Xp (0)","void mshadow::cuda::MapPlanKernel<mshadow::sv::saveto, int=8, mshadow::expr::Plan<mshadow::Tensor<mshadow::gpu, int=2, float>, float>, mshadow::expr::Plan<mshadow::expr::TypecastExp<float, float, mshadow::expr::BinaryMapExp<mshadow::op::mul, mshadow::expr::BinaryMapExp<mxnet::op::mshadow_op::threshold, mshadow::expr::MakeTensorExp<mshadow::expr::ReshapeExp<mshadow::Tensor<mshadow::gpu, int=1, float>, float, int=2, int=1>, mshadow::Tensor<mshadow::gpu, int=1, float>, int=2, float>, mshadow::expr::ScalarExp<float>, float, int=3>, mshadow::expr::ScalarExp<float>, float, int=3>, int=3>, float>>(mshadow::gpu, unsigned int, mshadow::Shape<int=2>, int=2)",20,"dram_read_transactions","Device Memory Read Transactions",32,98942,9170
"TITAN Xp (0)","void mshadow::cuda::MapPlanKernel<mshadow::sv::saveto, int=8, mshadow::expr::Plan<mshadow::Tensor<mshadow::gpu, int=2, float>, float>, mshadow::expr::Plan<mshadow::expr::TypecastExp<float, float, mshadow::expr::BinaryMapExp<mshadow::op::mul, mshadow::expr::BinaryMapExp<mxnet::op::mshadow_op::threshold, mshadow::expr::MakeTensorExp<mshadow::expr::ReshapeExp<mshadow::Tensor<mshadow::gpu, int=1, float>, float, int=2, int=1>, mshadow::Tensor<mshadow::gpu, int=1, float>, int=2, float>, mshadow::expr::ScalarExp<float>, float, int=3>, mshadow::expr::ScalarExp<float>, float, int=3>, int=3>, float>>(mshadow::gpu, unsigned int, mshadow::Shape<int=2>, int=2)",20,"dram_write_transactions","Device Memory Write Transactions",10460,100955,19907
"TITAN Xp (0)","_ZN5mxnet2op8mxnet_op20mxnet_generic_kernelINS0_4TakeEJPfS4_S4_jjEEEviDpT0_",2,"dram_read_transactions","Device Memory Read Transactions",27852,34609,31230
"TITAN Xp (0)","_ZN5mxnet2op8mxnet_op20mxnet_generic_kernelINS0_4TakeEJPfS4_S4_jjEEEviDpT0_",2,"dram_write_transactions","Device Memory Write Transactions",84842,95674,90258
"TITAN Xp (0)","_ZN5mxnet2op8mxnet_op20mxnet_generic_kernelINS1_11op_with_reqINS0_9unary_bwdINS0_10mshadow_op27reciprocal_square_root_gradEEELi1EEEJPfS9_S9_EEEviDpT0_",36,"dram_read_transactions","Device Memory Read Transactions",58,1082,296
"TITAN Xp (0)","_ZN5mxnet2op8mxnet_op20mxnet_generic_kernelINS1_11op_with_reqINS0_9unary_bwdINS0_10mshadow_op27reciprocal_square_root_gradEEELi1EEEJPfS9_S9_EEEviDpT0_",36,"dram_write_transactions","Device Memory Write Transactions",0,16,3
"TITAN Xp (0)","void mshadow::cuda::MapPlanKernel<mshadow::sv::saveto, int=8, mshadow::expr::Plan<mshadow::Tensor<mshadow::gpu, int=1, int>, int>, mshadow::expr::Plan<mshadow::expr::RangeExp<int>, int>>(mshadow::gpu, unsigned int, mshadow::Shape<int=2>, int=1)",2,"dram_read_transactions","Device Memory Read Transactions",84,112,98
"TITAN Xp (0)","void mshadow::cuda::MapPlanKernel<mshadow::sv::saveto, int=8, mshadow::expr::Plan<mshadow::Tensor<mshadow::gpu, int=1, int>, int>, mshadow::expr::Plan<mshadow::expr::RangeExp<int>, int>>(mshadow::gpu, unsigned int, mshadow::Shape<int=2>, int=1)",2,"dram_write_transactions","Device Memory Write Transactions",0,4,2
"TITAN Xp (0)","_ZN5mxnet2op8mxnet_op20mxnet_generic_kernelINS1_11op_with_reqINS0_10mshadow_op8identityELi1EEEJPfS7_EEEviDpT0_",21,"dram_read_transactions","Device Memory Read Transactions",32,750032,100296
"TITAN Xp (0)","_ZN5mxnet2op8mxnet_op20mxnet_generic_kernelINS1_11op_with_reqINS0_10mshadow_op8identityELi1EEEJPfS7_EEEviDpT0_",21,"dram_write_transactions","Device Memory Write Transactions",0,729713,92003
"TITAN Xp (0)","_ZN5mxnet2op8mxnet_op20mxnet_generic_kernelINS0_16ElemwiseBinaryOp15BackwardUseInOpINS0_10mshadow_op4leftELi1EEEJPfPKfSA_SA_EEEviDpT0_",171,"dram_read_transactions","Device Memory Read Transactions",5000,10536,6676
"TITAN Xp (0)","_ZN5mxnet2op8mxnet_op20mxnet_generic_kernelINS0_16ElemwiseBinaryOp15BackwardUseInOpINS0_10mshadow_op4leftELi1EEEJPfPKfSA_SA_EEEviDpT0_",171,"dram_write_transactions","Device Memory Write Transactions",0,5868,643
"TITAN Xp (0)","void mxnet::op::broadcast::binary_broadcast_kernel<int=2, float, mshadow::op::minus, int=2>(int, bool, float const *, float const , mxnet::op::broadcast::binary_broadcast_kernel<int=2, float, mshadow::op::minus, int=2>*, mshadow::Shape<int=2>, mshadow::Shape, mshadow::Shape)",72,"dram_read_transactions","Device Memory Read Transactions",0,104055,47413
"TITAN Xp (0)","void mxnet::op::broadcast::binary_broadcast_kernel<int=2, float, mshadow::op::minus, int=2>(int, bool, float const *, float const , mxnet::op::broadcast::binary_broadcast_kernel<int=2, float, mshadow::op::minus, int=2>*, mshadow::Shape<int=2>, mshadow::Shape, mshadow::Shape)",72,"dram_write_transactions","Device Memory Write Transactions",4,97581,45568
"TITAN Xp (0)","_ZN5mxnet2op8mxnet_op20mxnet_generic_kernelINS1_11op_with_reqINS0_9unary_bwdINS0_10mshadow_op11square_gradEEELi1EEEJPfS9_S9_EEEviDpT0_",36,"dram_read_transactions","Device Memory Read Transactions",10032,206135,107283
"TITAN Xp (0)","_ZN5mxnet2op8mxnet_op20mxnet_generic_kernelINS1_11op_with_reqINS0_9unary_bwdINS0_10mshadow_op11square_gradEEELi1EEEJPfS9_S9_EEEviDpT0_",36,"dram_write_transactions","Device Memory Write Transactions",4,98288,48792
"TITAN Xp (0)","void mshadow::cuda::MapPlanKernel<mshadow::sv::saveto, int=8, mshadow::expr::Plan<mshadow::Tensor<mshadow::gpu, int=2, float>, float>, mshadow::expr::Plan<mshadow::expr::ScalarExp<float>, float>>(mshadow::gpu, unsigned int, mshadow::Shape<int=2>, int=2)",2,"dram_read_transactions","Device Memory Read Transactions",2003,2083,2043
"TITAN Xp (0)","void mshadow::cuda::MapPlanKernel<mshadow::sv::saveto, int=8, mshadow::expr::Plan<mshadow::Tensor<mshadow::gpu, int=2, float>, float>, mshadow::expr::Plan<mshadow::expr::ScalarExp<float>, float>>(mshadow::gpu, unsigned int, mshadow::Shape<int=2>, int=2)",2,"dram_write_transactions","Device Memory Write Transactions",479561,1071591,775576
"TITAN Xp (0)","void mshadow::cuda::MapRedKeepLowestKernel<mshadow::sv::plusto, mshadow::red::sum, int=5, float, mshadow::expr::Plan<mshadow::Tensor<mshadow::gpu, int=1, float>, float>, mshadow::expr::Plan<mshadow::Tensor<mshadow::gpu, int=2, float>, float>>(mshadow::gpu, int=1, float, mshadow::Shape<int=2>)",127,"dram_read_transactions","Device Memory Read Transactions",7557,41527,23338
"TITAN Xp (0)","void mshadow::cuda::MapRedKeepLowestKernel<mshadow::sv::plusto, mshadow::red::sum, int=5, float, mshadow::expr::Plan<mshadow::Tensor<mshadow::gpu, int=1, float>, float>, mshadow::expr::Plan<mshadow::Tensor<mshadow::gpu, int=2, float>, float>>(mshadow::gpu, int=1, float, mshadow::Shape<int=2>)",127,"dram_write_transactions","Device Memory Write Transactions",17118,49659,38508
"TITAN Xp (0)","_ZN5mxnet2op8mxnet_op20mxnet_generic_kernelINS1_11op_with_reqIN7mshadow2op3mulELi1EEEJPfS8_S8_EEEviDpT0_",175,"dram_read_transactions","Device Memory Read Transactions",0,13542,3009
"TITAN Xp (0)","_ZN5mxnet2op8mxnet_op20mxnet_generic_kernelINS1_11op_with_reqIN7mshadow2op3mulELi1EEEJPfS8_S8_EEEviDpT0_",175,"dram_write_transactions","Device Memory Write Transactions",0,7256,2340
"TITAN Xp (0)","void mshadow::cuda::MapPlanKernel<mshadow::sv::saveto, int=8, mshadow::expr::Plan<mshadow::Tensor<mshadow::gpu, int=2, float>, float>, mshadow::expr::Plan<mshadow::expr::BinaryMapExp<mshadow::op::minus, mshadow::Tensor<mshadow::gpu, int=2, float>, mshadow::expr::BinaryMapExp<mshadow::op::div, mshadow::expr::BinaryMapExp<mshadow::op::mul, mshadow::expr::ScalarExp<float>, mshadow::Tensor<mshadow::gpu, int=2, float>, float, int=1>, mshadow::expr::BinaryMapExp<mshadow::op::plus, mshadow::expr::UnaryMapExp<mxnet::op::mshadow_op::square_root, mshadow::Tensor<mshadow::gpu, int=2, float>, float, int=1>, mshadow::expr::ScalarExp<float>, float, int=1>, float, int=1>, float, int=1>, float>>(mshadow::gpu, unsigned int, mshadow::Shape<int=2>, int=2)",3,"dram_read_transactions","Device Memory Read Transactions",6768,3231193,1831274
"TITAN Xp (0)","void mshadow::cuda::MapPlanKernel<mshadow::sv::saveto, int=8, mshadow::expr::Plan<mshadow::Tensor<mshadow::gpu, int=2, float>, float>, mshadow::expr::Plan<mshadow::expr::BinaryMapExp<mshadow::op::minus, mshadow::Tensor<mshadow::gpu, int=2, float>, mshadow::expr::BinaryMapExp<mshadow::op::div, mshadow::expr::BinaryMapExp<mshadow::op::mul, mshadow::expr::ScalarExp<float>, mshadow::Tensor<mshadow::gpu, int=2, float>, float, int=1>, mshadow::expr::BinaryMapExp<mshadow::op::plus, mshadow::expr::UnaryMapExp<mxnet::op::mshadow_op::square_root, mshadow::Tensor<mshadow::gpu, int=2, float>, float, int=1>, mshadow::expr::ScalarExp<float>, float, int=1>, float, int=1>, float, int=1>, float>>(mshadow::gpu, unsigned int, mshadow::Shape<int=2>, int=2)",3,"dram_write_transactions","Device Memory Write Transactions",246,1075590,611319
"TITAN Xp (0)","void mxnet::op::broadcast::reduce_kernel<mshadow::red::sum, int=2, float, mxnet::op::mshadow_op::negation, int=2>(int, int, bool, float const *, mxnet::op::broadcast::reduce_kernel<mshadow::red::sum, int=2, float, mxnet::op::mshadow_op::negation, int=2>*, mshadow::Shape<int=2>, mshadow::Shape, mshadow::Shape, mshadow::Shape, int, bool)",72,"dram_read_transactions","Device Memory Read Transactions",0,96802,24826
"TITAN Xp (0)","void mxnet::op::broadcast::reduce_kernel<mshadow::red::sum, int=2, float, mxnet::op::mshadow_op::negation, int=2>(int, int, bool, float const *, mxnet::op::broadcast::reduce_kernel<mshadow::red::sum, int=2, float, mxnet::op::mshadow_op::negation, int=2>*, mshadow::Shape<int=2>, mshadow::Shape, mshadow::Shape, mshadow::Shape, int, bool)",72,"dram_write_transactions","Device Memory Write Transactions",90,43049,16983
"TITAN Xp (0)","void mxnet::op::broadcast::reduce_kernel_M1<mshadow::red::sum, int=2, float, mshadow::op::mul, mxnet::op::mshadow_op::right>(int, bool, float const *, float const , float const , mxnet::op::broadcast::reduce_kernel_M1<mshadow::red::sum, int=2, float, mshadow::op::mul, mxnet::op::mshadow_op::right>*, mshadow::Shape<int=2>, mshadow::Shape, mshadow::Shape, mshadow::Shape)",72,"dram_read_transactions","Device Memory Read Transactions",10,115924,51722
"TITAN Xp (0)","void mxnet::op::broadcast::reduce_kernel_M1<mshadow::red::sum, int=2, float, mshadow::op::mul, mxnet::op::mshadow_op::right>(int, bool, float const *, float const , float const , mxnet::op::broadcast::reduce_kernel_M1<mshadow::red::sum, int=2, float, mshadow::op::mul, mxnet::op::mshadow_op::right>*, mshadow::Shape<int=2>, mshadow::Shape, mshadow::Shape, mshadow::Shape)",72,"dram_write_transactions","Device Memory Write Transactions",36,97548,33296
"TITAN Xp (0)","maxwell_sgemm_128x64_tn",135,"dram_read_transactions","Device Memory Read Transactions",10474,917909,303858
"TITAN Xp (0)","maxwell_sgemm_128x64_tn",135,"dram_write_transactions","Device Memory Write Transactions",20028,179750,58890
